FID,Lat,Lon,lat1,lon1,lat2,lon4,output
0,20.227,109.92,20.222,109.915,20.232,109.925,58
1,20.237,109.93,20.232,109.925,20.242,109.935,6
2,20.247,109.92,20.242,109.915,20.252,109.925,76
3,20.247,109.93,20.242,109.925,20.252,109.935,10
4,20.247,109.94,20.242,109.935,20.252,109.945,30
5,20.247,110.12,20.242,110.115,20.252,110.125,4
6,20.247,110.13,20.242,110.125,20.252,110.135,81
7,20.247,110.14,20.242,110.135,20.252,110.145,21
8,20.247,110.15,20.242,110.145,20.252,110.155,63
9,20.247,110.16,20.242,110.155,20.252,110.165,9
10,20.247,110.17,20.242,110.165,20.252,110.175,41
11,20.247,110.18,20.242,110.175,20.252,110.185,40
12,20.257,109.92,20.252,109.915,20.262,109.925,12
13,20.257,109.93,20.252,109.925,20.262,109.935,15
14,20.257,109.94,20.252,109.935,20.262,109.945,93
15,20.257,109.95,20.252,109.945,20.262,109.955,57
16,20.257,110.12,20.252,110.115,20.262,110.125,50
17,20.257,110.13,20.252,110.125,20.262,110.135,39
18,20.257,110.14,20.252,110.135,20.262,110.145,27
19,20.257,110.15,20.252,110.145,20.262,110.155,86
20,20.257,110.16,20.252,110.155,20.262,110.165,34
21,20.257,110.17,20.252,110.165,20.262,110.175,64
22,20.257,110.18,20.252,110.175,20.262,110.185,67
23,20.257,110.19,20.252,110.185,20.262,110.195,31
24,20.257,110.28,20.252,110.275,20.262,110.285,36
25,20.267,109.93,20.262,109.925,20.272,109.935,63
26,20.267,109.94,20.262,109.935,20.272,109.945,68
27,20.267,109.95,20.262,109.945,20.272,109.955,9
28,20.267,109.96,20.262,109.955,20.272,109.965,41
29,20.267,110.01,20.262,110.005,20.272,110.015,78
30,20.267,110.09,20.262,110.085,20.272,110.095,14
31,20.267,110.1,20.262,110.095,20.272,110.105,18
32,20.267,110.11,20.262,110.105,20.272,110.115,14
33,20.267,110.12,20.262,110.115,20.272,110.125,95
34,20.267,110.13,20.262,110.125,20.272,110.135,38
35,20.267,110.14,20.262,110.135,20.272,110.145,13
36,20.267,110.15,20.262,110.145,20.272,110.155,91
37,20.267,110.16,20.262,110.155,20.272,110.165,33
38,20.267,110.17,20.262,110.165,20.272,110.175,26
39,20.267,110.18,20.262,110.175,20.272,110.185,64
40,20.267,110.19,20.262,110.185,20.272,110.195,59
41,20.267,110.25,20.262,110.245,20.272,110.255,86
42,20.267,110.27,20.262,110.265,20.272,110.275,57
43,20.267,110.28,20.262,110.275,20.272,110.285,21
44,20.267,110.29,20.262,110.285,20.272,110.295,81
45,20.267,110.3,20.262,110.295,20.272,110.305,70
46,20.267,110.31,20.262,110.305,20.272,110.315,12
47,20.267,110.32,20.262,110.315,20.272,110.325,75
48,20.267,110.33,20.262,110.325,20.272,110.335,95
49,20.277,109.94,20.272,109.935,20.282,109.945,8
50,20.277,109.95,20.272,109.945,20.282,109.955,8
51,20.277,109.96,20.272,109.955,20.282,109.965,82
52,20.277,109.97,20.272,109.965,20.282,109.975,35
53,20.277,110.01,20.272,110.005,20.282,110.015,18
54,20.277,110.07,20.272,110.065,20.282,110.075,37
55,20.277,110.08,20.272,110.075,20.282,110.085,94
56,20.277,110.09,20.272,110.085,20.282,110.095,88
57,20.277,110.1,20.272,110.095,20.282,110.105,6
58,20.277,110.11,20.272,110.105,20.282,110.115,19
59,20.277,110.12,20.272,110.115,20.282,110.125,93
60,20.277,110.13,20.272,110.125,20.282,110.135,48
61,20.277,110.14,20.272,110.135,20.282,110.145,21
62,20.277,110.15,20.272,110.145,20.282,110.155,51
63,20.277,110.16,20.272,110.155,20.282,110.165,11
64,20.277,110.17,20.272,110.165,20.282,110.175,71
65,20.277,110.18,20.272,110.175,20.282,110.185,91
66,20.277,110.19,20.272,110.185,20.282,110.195,78
67,20.277,110.2,20.272,110.195,20.282,110.205,43
